district,date,day_of_week,month,is_weekend,is_holiday,holiday_name,holiday_proximity,season,district_type,waste_kg
Centro,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,7436.6
Bela Vista,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,6165.6
Pinheiros,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,6470.1
Brás,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,8172.9
Liberdade,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,4700.3
Vila Mariana,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,4138.2
Mooca,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,4659.5
Tatuapé,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,4886.3
Santana,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,3339.9
Lapa,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,3990.8
Butantã,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,suburban,3024.1
Vila Madalena,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,4622.8
Santo Amaro,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,5896.7
Itaquera,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,3673.9
São Mateus,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,suburban,2405.7
Parelheiros,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,rural,1265.6
Osasco Centro,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,4737.7
Guarulhos Centro,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,commercial,6185.7
Santo André,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,residential,4097.4
São Bernardo,2024-01-01,0,1,0,1,Ano Novo,0,verao_chuvoso,industrial,5573.9
Centro,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,6773.0
Bela Vista,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,5006.1
Pinheiros,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,4967.0
Brás,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,4701.5
Liberdade,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,3709.8
Vila Mariana,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,3540.9
Mooca,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,2770.8
Tatuapé,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,3837.6
Santana,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,2695.4
Lapa,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,2967.4
Butantã,2024-01-02,1,1,0,0,,1,verao_chuvoso,suburban,2438.3
Vila Madalena,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,4911.8
Santo Amaro,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,4695.3
Itaquera,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,3417.0
São Mateus,2024-01-02,1,1,0,0,,1,verao_chuvoso,suburban,2735.5
Parelheiros,2024-01-02,1,1,0,0,,1,verao_chuvoso,rural,950.7
Osasco Centro,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,4537.2
Guarulhos Centro,2024-01-02,1,1,0,0,,1,verao_chuvoso,commercial,3741.7
Santo André,2024-01-02,1,1,0,0,,1,verao_chuvoso,residential,3172.5
São Bernardo,2024-01-02,1,1,0,0,,1,verao_chuvoso,industrial,5638.2
Centro,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,6270.4
Bela Vista,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,5251.3
Pinheiros,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,4858.7
Brás,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,5466.2
Liberdade,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,3264.9
Vila Mariana,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,3192.5
Mooca,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,3037.1
Tatuapé,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,4137.8
Santana,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,3024.5
Lapa,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,2424.5
Butantã,2024-01-03,2,1,0,0,,2,verao_chuvoso,suburban,2730.3
Vila Madalena,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,3832.9
Santo Amaro,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,4320.9
Itaquera,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,4201.0
São Mateus,2024-01-03,2,1,0,0,,2,verao_chuvoso,suburban,2797.8
Parelheiros,2024-01-03,2,1,0,0,,2,verao_chuvoso,rural,1238.3
Osasco Centro,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,3980.5
Guarulhos Centro,2024-01-03,2,1,0,0,,2,verao_chuvoso,commercial,4710.6
Santo André,2024-01-03,2,1,0,0,,2,verao_chuvoso,residential,3924.0
São Bernardo,2024-01-03,2,1,0,0,,2,verao_chuvoso,industrial,6152.8
Centro,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,4175.9
Bela Vista,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3869.9
Pinheiros,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3286.9
Brás,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3736.2
Liberdade,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3350.8
Vila Mariana,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,3125.5
Mooca,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,2451.6
Tatuapé,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,3164.8
Santana,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,2331.4
Lapa,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,2182.3
Butantã,2024-01-04,3,1,0,0,,3,verao_chuvoso,suburban,2109.3
Vila Madalena,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3661.7
Santo Amaro,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3602.0
Itaquera,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,3575.8
São Mateus,2024-01-04,3,1,0,0,,3,verao_chuvoso,suburban,1378.9
Parelheiros,2024-01-04,3,1,0,0,,3,verao_chuvoso,rural,941.3
Osasco Centro,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3440.4
Guarulhos Centro,2024-01-04,3,1,0,0,,3,verao_chuvoso,commercial,3628.2
Santo André,2024-01-04,3,1,0,0,,3,verao_chuvoso,residential,2935.0
São Bernardo,2024-01-04,3,1,0,0,,3,verao_chuvoso,industrial,3226.4
Centro,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,4615.9
Bela Vista,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,4416.6
Pinheiros,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,4774.6
Brás,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,4377.5
Liberdade,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,2949.9
Vila Mariana,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,2703.0
Mooca,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,2936.7
Tatuapé,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,3141.6
Santana,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,2238.8
Lapa,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,2686.9
Butantã,2024-01-05,4,1,0,0,,4,verao_chuvoso,suburban,2188.3
Vila Madalena,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,3692.0
Santo Amaro,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,3544.7
Itaquera,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,3094.6
São Mateus,2024-01-05,4,1,0,0,,4,verao_chuvoso,suburban,1952.8
Parelheiros,2024-01-05,4,1,0,0,,4,verao_chuvoso,rural,755.8
Osasco Centro,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,3772.6
Guarulhos Centro,2024-01-05,4,1,0,0,,4,verao_chuvoso,commercial,4152.8
Santo André,2024-01-05,4,1,0,0,,4,verao_chuvoso,residential,3108.2
São Bernardo,2024-01-05,4,1,0,0,,4,verao_chuvoso,industrial,4405.9
Centro,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3236.8
Bela Vista,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3457.6
Pinheiros,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3452.5
